mlp_weight,transformer_weight,auROC
0.0,1.0,0.7765811155158497
0.01,0.99,0.7772398448463457
0.02,0.98,0.7778620270281575
0.03,0.97,0.7785123901438945
0.04,0.96,0.7791759630724088
0.05,0.95,0.7797272525923156
0.06,0.94,0.7802860276727963
0.07,0.9299999999999999,0.7808835515374241
0.08,0.92,0.7814810754020516
0.09,0.91,0.7820464553889213
0.1,0.9,0.7825906996753469
0.11,0.89,0.7831349439617726
0.12,0.88,0.7836910770796979
0.13,0.87,0.7842322390764755
0.14,0.86,0.7847196811679589
0.15,0.85,0.785204921623979
0.16,0.84,0.7856853184819812
0.17,0.83,0.7862084270679631
0.18,0.8200000000000001,0.7867156838786125
0.19,0.81,0.7872044469513734
0.2,0.8,0.7876386094646547
0.21,0.79,0.7880930270241946
0.22,0.78,0.7885373170606054
0.23,0.77,0.7889838087324789
0.24,0.76,0.7894232551708712
0.25,0.75,0.789812063993617
0.26,0.74,0.790201753470548
0.27,0.73,0.7905795541159795
0.28,0.72,0.7909555934530407
0.29,0.71,0.7913056534916397
0.3,0.7,0.7916671620346458
0.31,0.69,0.7920480449697254
0.32,0.6799999999999999,0.7924328908486381
0.33,0.6699999999999999,0.7927759056537558
0.34,0.6599999999999999,0.793086336254023
0.35000000000000003,0.6499999999999999,0.7934134992838079
0.36,0.64,0.7937340574072043
0.37,0.63,0.7940977675856733
0.38,0.62,0.7944553131848463
0.39,0.61,0.7947626614954653
0.4,0.6,0.7950836599459543
0.41000000000000003,0.59,0.7953386093325566
0.42,0.5800000000000001,0.7956446366618979
0.43,0.5700000000000001,0.7958903391795562
0.44,0.56,0.7961924035650643
0.45,0.55,0.7964152090739084
0.46,0.54,0.7966895328525843
0.47000000000000003,0.53,0.7968925236422624
0.48,0.52,0.7971162098052917
0.49,0.51,0.797328447463914
0.5,0.5,0.7975314382535923
0.51,0.49,0.7977696552106768
0.52,0.48,0.7979766089441881
0.53,0.47,0.7981487768373859
0.54,0.45999999999999996,0.7983306319266205
0.55,0.44999999999999996,0.7985116063616696
0.56,0.43999999999999995,0.7986758483672011
0.5700000000000001,0.42999999999999994,0.7987885721029009
0.58,0.42000000000000004,0.798877077848509
0.59,0.41000000000000003,0.7989426865853031
0.6,0.4,0.7990558506480955
0.61,0.39,0.79916769372961
0.62,0.38,0.7992007182615534
0.63,0.37,0.7992535575126627
0.64,0.36,0.7992786561569396
0.65,0.35,0.7993050757824943
0.66,0.33999999999999997,0.7993385406415302
0.67,0.32999999999999996,0.7994072316679722
0.68,0.31999999999999995,0.799403268724139
0.6900000000000001,0.30999999999999994,0.7993618779774367
0.7000000000000001,0.29999999999999993,0.7993310550809563
0.71,0.29000000000000004,0.7992500348959222
0.72,0.28,0.7991364305060371
0.73,0.27,0.7990171018639486
0.74,0.26,0.7988828021007125
0.75,0.25,0.7987929753738267
0.76,0.24,0.7986137622471476
0.77,0.22999999999999998,0.7984486395874312
0.78,0.21999999999999997,0.7982368422559013
0.79,0.20999999999999996,0.7979893784298729
0.8,0.19999999999999996,0.7977397129683815
0.81,0.18999999999999995,0.7974636278813354
0.8200000000000001,0.17999999999999994,0.7972245302700658
0.8300000000000001,0.16999999999999993,0.7969550500894084
0.84,0.16000000000000003,0.7966463807975117
0.85,0.15000000000000002,0.7963209790760969
0.86,0.14,0.7959960176817746
0.87,0.13,0.7956433156806202
0.88,0.12,0.795280926483429
0.89,0.10999999999999999,0.794928664809367
0.9,0.09999999999999998,0.7945297284634919
0.91,0.08999999999999997,0.7941167016506543
0.92,0.07999999999999996,0.7936992715668908
0.93,0.06999999999999995,0.7932589444743134
0.9400000000000001,0.05999999999999994,0.792830946540328
0.9500000000000001,0.04999999999999993,0.7924038292605279
0.96,0.040000000000000036,0.7919190291316001
0.97,0.030000000000000027,0.7914166159189693
0.98,0.020000000000000018,0.7909225689210972
0.99,0.010000000000000009,0.7904201557084665
1.0,0.0,0.7899036520288731
