fold,epoch,train_loss,val_auroc,val_auprc
1,1,0.6560407999443681,0.7913322632423756,0.7546855645880766
1,2,0.6123118584286676,0.8006551196386577,0.7547208295493533
1,3,0.5942439428747517,0.808344843032588,0.7697247764505475
1,4,0.5759895243873335,0.8126376497816268,0.7766167143747137
1,5,0.5710653719836718,0.8107338833103139,0.774534866946116
1,6,0.5657654065791875,0.8136081973944531,0.7804553640111195
1,7,0.5597972143186282,0.8055171898913733,0.7716972064002976
1,8,0.5457516635117465,0.8102486095039008,0.782153366808015
1,9,0.5493866237875533,0.8104819142185224,0.7870917603815197
1,10,0.5444273609821111,0.8111818283623876,0.7851015936227861
1,11,0.533753805781064,0.8079902198663631,0.7825875543946348
1,12,0.5219627569799554,0.806945014744858,0.7832794386309289
1,13,0.5103012433607285,0.7991992982194185,0.7793498942427362
1,14,0.4968856589434898,0.7929373996789726,0.7740374644080565
1,15,0.4951982702294441,0.7978088021202733,0.7801024299084256
1,16,0.47622692605404005,0.7843424539923103,0.7745716500047035
2,1,0.6631123065948487,0.743921535433904,0.7212163868409592
2,2,0.6026912089188894,0.7592208561694564,0.7476767458206101
2,3,0.5832247606913249,0.7628499481558288,0.7619538389096574
2,4,0.5731603141625722,0.7653892545019785,0.7638091429407226
2,5,0.5725099198023478,0.7644052732928456,0.7602788544226947
2,6,0.56141188621521,0.7645004972808263,0.7623688505000011
2,7,0.561414026816686,0.7703409018769706,0.7714708610954669
2,8,0.5463976971308391,0.7688490593986076,0.7741262889323107
2,9,0.5425860162576039,0.7716422963793725,0.7734333643680169
2,10,0.5407661652565002,0.7676217279979686,0.7699682776080646
2,11,0.5408093671003977,0.7651459043104725,0.7595443162077444
2,12,0.533419916232427,0.760564572444294,0.7589724727747356
2,13,0.5174139618873597,0.7625325348625601,0.7665392632454788
2,14,0.5196875528494517,0.7652305478553443,0.7572599334302749
2,15,0.5154559457302094,0.7585119664811562,0.7639561650109313
2,16,0.5096778984864553,0.7673254755909178,0.7645859575931065
2,17,0.5041714485486348,0.7616966798569524,0.7626095441638261
2,18,0.5005602622032166,0.76253253486256,0.7652390814158687
2,19,0.4912967113653819,0.7607444399771461,0.7612644760856073
3,1,0.668862123238413,0.7561829324419252,0.7396808853168995
3,2,0.6091785058379173,0.7768209674684494,0.7715142872270652
3,3,0.5848028534337094,0.7781532349877675,0.7711048915250026
3,4,0.5663535889042052,0.7815202383547707,0.7758487634502634
3,5,0.5628632346266195,0.7808662161180147,0.7754558123923876
3,6,0.5669726399998916,0.7819804762250806,0.7747982735092696
3,7,0.5550168286028662,0.779957851900298,0.7661738477604354
3,8,0.5517961833822099,0.7773659859990796,0.7672005916846962
3,9,0.544337546354846,0.7779594506213211,0.7712913230386964
3,10,0.5455640240719444,0.780611874137054,0.7670673442530456
3,11,0.5289080562560182,0.7756703727926748,0.7675390647109392
3,12,0.5305731492607217,0.7700869607344427,0.7625723171725993
3,13,0.5214368959790782,0.765666254874888,0.7552092674562182
3,14,0.5113260251911063,0.7753796962430056,0.768306774256952
3,15,0.5016191938990041,0.7703534142383064,0.7652197715596294
3,16,0.5014584633080583,0.7763486180752368,0.7659412153970797
4,1,0.672936638991038,0.7869175865584963,0.7695501838065151
4,2,0.6201188178857168,0.8080086004344549,0.784209966227647
4,3,0.6154155957698823,0.8125526444119342,0.7923652718876834
4,4,0.582934114933014,0.8194684576849758,0.8004684805824028
4,5,0.5781166247526804,0.8229817794919537,0.8043215466668238
4,6,0.5697760315736135,0.8260961120716407,0.8052414241564605
4,7,0.56643754641215,0.8216850645032584,0.8046475047273584
4,8,0.568782073656718,0.8289333687990423,0.8164140170568369
4,9,0.5591446844736735,0.8280356430376381,0.8162511594420677
4,10,0.5541468127568563,0.8340315644810923,0.8171910119291685
4,11,0.5481657103697459,0.822904198253314,0.8090427460785263
4,12,0.5392736570040385,0.8267832601853085,0.8159686045416741
4,13,0.5398879504203796,0.8232477723101476,0.8060792434996487
4,14,0.5247115341822306,0.8200891075940949,0.8042264550022192
4,15,0.5199347352981567,0.8119984927073636,0.7989889879518695
4,16,0.5120919044812521,0.8214190716850646,0.8044010637590142
4,17,0.5084539516766866,0.8211419958327792,0.80537223266455
4,18,0.4970599659283956,0.8042847009797401,0.7923905709879921
4,19,0.49093132774035136,0.795961342377089,0.7844240740738868
4,20,0.47092880328496295,0.8088065788890367,0.7962749576547954
5,1,0.6776677056362754,0.7438218408620285,0.7161602217572507
5,2,0.6434376561327985,0.8030676900566668,0.7883896321122703
5,3,0.6119236997083614,0.8106191178841122,0.7975812830282982
5,4,0.5894935444781655,0.8071347973266209,0.793672493590851
5,5,0.5768789468627227,0.8149838183689412,0.8004966355917131
5,6,0.5691735869959781,0.8137810457921559,0.7961150215512526
5,7,0.5678861419621267,0.7905563753146428,0.7800908776394657
5,8,0.5639826145611311,0.8132726573834116,0.7963205310535542
5,9,0.5581691198443112,0.8141406375934628,0.801222816740162
5,10,0.557482526098427,0.7956402594020855,0.7819414687835419
5,11,0.5426720968986812,0.8087839597257184,0.7991603814370921
5,12,0.5433590780747565,0.8114870980941635,0.8005065163263947
5,13,0.5285726503321999,0.8144134313737647,0.8000560171863951
5,14,0.5248279355858502,0.8010217367044031,0.7902781936867376
5,15,0.5105118606435625,0.8052872394509405,0.7899911235912376
